"WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
1404.6,1155,1079.3,6604.2,6473.9,6451.7
283.3,254.1,222.4,1411.7,1551.9,1613.9
1157.7,990.4,1063.6,779.8,709.5,835.4
2298.9,2361,2333.4,2497.3,2430.5,2481.1
1046,1238.7,1065.4,757.7,772.4,642.7
15.9,22.9,14.8,36,30.6,34.3
193.6,162,184.3,122.3,87.6,107.8
1342.8,1263.1,1279.7,558.7,457.9,494.9
896.9,1046.5,775,1660.2,1823.3,1862.8
3831.2,3333.6,3475.6,2165.2,2651.8,2560.9
5767.4,5722.9,5916.7,8414.7,8231.5,8026.3
2351,2310.5,2278.5,3025.1,2869.1,2974.7
1300.5,1160.8,1332.3,585.3,526.5,491.1
1335.4,1163.8,1110,561.4,434.8,496
72.7,49.5,63,162.2,142,133.4
527.3,575.7,521.6,433.3,355.9,379.1
359.1,252,519.3,1024.7,1126.6,1313.4
3502.1,3323.8,3138.9,3964.6,4006.9,4213.8
3887.1,3849.4,3725.1,4951.9,4743.9,4887.8
799.9,827.1,714,458.8,493.3,598.6
228.6,222.4,301,92.8,32,65.6
188.7,229.2,204.5,122.9,96,83.4
177.2,202.4,194.1,334.7,328.9,293.2
1331.9,1285.9,1361.5,2443.2,2384.1,2266
7626.6,8023.2,7852.9,6907.1,6824.6,6369.5
639.3,632.2,600.6,464.3,388.6,406.3
985.2,770.5,899.1,1365.1,1418.8,1500.1
5203,6700.3,5417.6,9672.2,8853.2,9602.9
2131.8,2248.8,2343.3,1516,1414.6,1320.9
831.6,913.7,780.5,499,551.9,597.4
211.6,302.9,166.8,1073.2,1180.8,1313.2
345.1,291.1,295.7,410.3,421.2,469.4
2979.1,2921.7,2489.5,654.9,691.6,698.8
1657.9,1865.2,1743,2598.3,2637.5,2712.9
922.1,902.8,920.8,1295.7,1206,1233
339.2,389.5,380.2,1229.9,1514.9,1501.5
630.8,610.4,608.7,488.2,459.5,447.4
457.2,466.4,393.2,774.8,755.1,774.9
1163.8,1077.2,1256.7,1720.4,1550.6,1760.1
438.1,513.3,520.3,1083.2,999.9,1190.2
1141.3,946.4,1062.3,1955.3,1704.8,1712
594.5,660.6,737.1,1313.1,1170.7,1273.7
8543.3,8389.9,7869.8,6299,6094.6,5920.8
532.4,550.7,454.6,738.7,744.4,699.9
1217.5,1318.5,1162.6,1740.2,1565.9,1712.1
1760,1770.1,1919.5,1332.2,1091.9,1076.4
1142,1033.3,1132,1555.2,1691.5,1544.5
589.1,639.5,551.7,1227.5,1136.7,1229.2
125.7,126.1,148.4,17,20.7,62
275.1,313.6,276.8,180,147.8,165.4
5095.3,5117.1,4957.8,5907.7,5772.4,5783.4
2323.4,2199.7,2407.8,118.3,110.1,197.1
1862.9,1774.4,1887.2,1505.2,1551.5,1435.7
688.7,687.3,604,857.4,902.8,993.5
778.5,901.9,787.3,327.9,313.5,406.4
3912.2,3501.1,3524.5,5214.6,5005.1,4804.2
1830.9,1963.1,1904.9,3134.8,2983.2,3037.9
1391.9,1496.7,1158.4,2138.9,2134.5,2232.5
957.3,1221.4,1072.9,1840.9,2134.5,1828.2
950.4,938.5,973.7,400.8,360.6,404.5
131.6,130.3,148.2,295.3,356.3,333.5
14728.9,14284.2,16334.9,5421.5,4733.9,4898.5
1088.5,1245.9,1126.7,1500,1540,1582.9
1311.7,1252.5,1322.8,810.6,855.3,908.3
1490.9,1534.9,1375.7,1186.7,1085.8,1077
994.1,1014.5,1016.8,1198.6,1206.3,1168.5
4009.5,4366.6,3885.5,5938,5686.4,5491.1
979.8,986.5,1030.4,1198.6,1221.8,1256.1
877.3,843.3,869.9,736.3,674.5,731.2
260.6,335.6,232.2,451.8,507.4,478.8
